product,brand,budget,use_case,urgency,decision_stage,sentiment_score,confidence_score,hesitation_score,feature_count,brand_count,price_sensitivity,interaction_length,conversion
camera,hp,82000,streaming,soon,mid,0.44,0.58,0.56,8,3,high,9,1
speaker,xiaomi,39000,study,flexible,awareness,0.27,0.38,0.55,4,4,low,9,1
laptop,jbl,123000,casual,soon,early,0.67,0.32,0.27,3,2,low,7,1
television,lenovo,150000,study,immediate,late,0.76,0.88,0.1,3,1,low,2,1
laptop,sony,114000,office,soon,early,0.31,0.49,0.75,4,4,high,1,1
keyboard,oneplus,17000,home_use,exploring,awareness,0.81,0.92,0.19,5,5,high,3,0
monitor,lg,34000,travel,exploring,mid,0.21,0.05,0.98,6,2,medium,7,0
laptop,jbl,129000,creative,immediate,early,0.25,0.29,0.43,7,4,low,5,0
microwave,xiaomi,26000,creative,immediate,awareness,0.68,0.77,0.35,7,3,high,2,1
washing_machine,canon,35000,home_use,soon,late,0.63,0.46,0.57,8,2,low,2,0
microwave,canon,28000,study,exploring,decision,0.25,0.33,0.58,6,2,high,3,0
keyboard,samsung,16000,creative,immediate,early,0.83,0.88,0.24,5,1,low,7,1
refrigerator,whirlpool,65000,entertainment,no_rush,late,0.9,0.58,0.56,8,4,high,6,0
mouse,samsung,3000,casual,soon,late,0.48,0.51,0.15,6,2,medium,4,1
monitor,oneplus,43000,streaming,flexible,late,0.28,0.23,0.68,5,1,high,1,0
keyboard,dell,8000,streaming,immediate,decision,0.71,0.43,0.43,3,3,high,2,1
television,whirlpool,236000,travel,immediate,early,0.87,0.68,0.17,6,4,medium,6,1
headphones,apple,34000,casual,immediate,awareness,0.53,0.22,0.66,4,2,low,3,0
speaker,asus,17000,fitness,soon,early,0.05,0.19,0.82,1,5,low,6,1
laptop,samsung,27000,casual,exploring,mid,0.22,0.07,0.38,8,1,low,9,0
keyboard,whirlpool,3000,office,immediate,early,0.99,0.97,0.07,1,1,low,3,1
smartphone,sony,45000,home_use,soon,mid,0.3,0.64,0.32,3,3,medium,6,1
mouse,whirlpool,8000,study,immediate,early,0.22,0.3,0.47,5,4,medium,10,0
speaker,sony,27000,office,exploring,early,0.27,0.22,0.55,1,2,high,5,0
washing_machine,xiaomi,40000,fitness,exploring,late,0.51,0.83,0.69,1,5,low,4,1
headphones,xiaomi,29000,work_from_home,flexible,mid,0.63,0.92,0.39,3,1,low,10,0
microwave,sony,23000,coding,soon,decision,0.8,0.8,0.46,8,5,low,5,0
smartwatch,dell,18000,entertainment,exploring,mid,0.05,0.22,0.37,1,1,high,7,0
smartwatch,sony,8000,business,no_rush,decision,0.38,0.05,0.81,6,3,medium,7,1
keyboard,sony,8000,streaming,no_rush,early,0.54,0.8,0.13,4,1,medium,8,1
refrigerator,lenovo,88000,professional,flexible,decision,0.8,0.67,0.18,6,2,low,1,0
tablet,canon,33000,casual,exploring,awareness,0.41,0.05,0.66,4,4,high,2,0
washing_machine,oneplus,27000,coding,flexible,awareness,0.05,0.06,0.97,1,4,high,10,1
headphones,dell,17000,work_from_home,soon,early,0.81,0.85,0.15,3,1,medium,6,0
keyboard,hp,19000,casual,flexible,decision,0.21,0.06,0.9,7,1,medium,8,0
microwave,lg,11000,casual,immediate,awareness,0.92,0.74,0.02,2,2,medium,9,0
washing_machine,canon,56000,streaming,immediate,mid,0.47,0.66,0.32,1,1,high,7,0
laptop,bosch,152000,gaming,soon,awareness,0.18,0.22,0.95,3,3,medium,8,0
monitor,bosch,47000,streaming,soon,mid,0.79,0.78,0.43,2,2,high,2,0
smartphone,xiaomi,9000,business,flexible,awareness,0.44,0.75,0.17,4,3,low,10,1
washing_machine,bose,23000,work_from_home,soon,awareness,0.33,0.08,0.86,2,4,low,5,0
headphones,asus,1000,streaming,soon,early,0.16,0.17,0.91,7,4,high,1,0
keyboard,asus,16000,office,flexible,late,0.87,0.91,0.19,8,3,high,2,1
laptop,samsung,145000,home_use,immediate,awareness,0.98,0.98,0.04,6,2,medium,9,1
speaker,lg,16000,travel,immediate,early,0.38,0.71,0.2,3,4,low,5,0
washing_machine,asus,46000,office,flexible,early,0.74,0.86,0.25,5,4,medium,8,1
headphones,oneplus,14000,photography,exploring,decision,0.53,0.48,0.67,1,1,low,2,0
speaker,lg,49000,home_use,no_rush,late,0.25,0.93,0.15,4,1,medium,9,1
monitor,bosch,62000,home_use,flexible,decision,0.4,0.71,0.41,5,3,medium,8,1
tablet,sony,55000,travel,exploring,mid,0.94,0.96,0.03,6,2,medium,3,0
speaker,whirlpool,5000,casual,immediate,mid,0.05,0.05,0.99,1,2,medium,6,1
refrigerator,bosch,61000,home_use,flexible,awareness,0.06,0.05,0.9,2,5,medium,3,0
smartwatch,oneplus,10000,fitness,exploring,early,0.23,0.32,0.5,8,3,low,9,1
mouse,xiaomi,3000,gaming,no_rush,mid,0.16,0.4,0.64,1,5,medium,7,1
smartphone,hp,24000,study,flexible,awareness,0.82,0.48,0.41,5,2,high,2,1
keyboard,lg,1000,gaming,flexible,late,0.78,0.88,0.25,6,2,medium,10,1
laptop,lg,27000,coding,flexible,late,0.24,0.33,0.55,1,1,high,10,0
refrigerator,lg,58000,home_use,no_rush,late,0.95,0.88,0.14,6,2,high,5,1
monitor,jbl,43000,creative,no_rush,decision,0.78,0.56,0.7,5,1,high,1,0
television,xiaomi,185000,coding,exploring,mid,0.08,0.08,0.89,3,5,medium,8,0
headphones,hp,21000,creative,soon,late,0.51,0.66,0.12,1,4,low,6,0
laptop,xiaomi,156000,gaming,soon,decision,0.27,0.57,0.46,7,1,low,8,1
microwave,bose,20000,office,flexible,early,0.79,0.71,0.17,1,5,medium,3,0
speaker,lenovo,9000,study,exploring,early,0.24,0.19,0.63,2,2,high,8,0
microwave,lenovo,21000,travel,exploring,awareness,0.6,0.23,0.94,4,4,medium,7,1
smartphone,xiaomi,43000,creative,flexible,decision,0.62,0.31,0.55,1,2,medium,3,1
refrigerator,dell,54000,photography,exploring,decision,0.62,0.39,0.9,7,1,low,7,0
keyboard,dell,9000,fitness,immediate,mid,0.99,0.99,0.02,8,5,high,10,1
smartwatch,canon,39000,travel,immediate,late,0.4,0.2,0.8,4,5,low,9,1
smartphone,jbl,75000,business,no_rush,late,0.35,0.6,0.45,3,4,medium,3,0
microwave,xiaomi,22000,office,no_rush,awareness,0.29,0.16,0.75,8,4,low,8,0
camera,asus,21000,streaming,flexible,mid,0.95,0.99,0.08,3,1,high,8,1
speaker,apple,15000,study,flexible,decision,0.34,0.34,0.88,2,5,high,2,1
keyboard,whirlpool,8000,creative,exploring,late,0.58,0.44,0.39,5,1,medium,9,0
washing_machine,asus,15000,entertainment,soon,decision,0.52,0.83,0.58,3,1,high,8,1
headphones,bose,25000,fitness,flexible,awareness,0.05,0.08,0.97,2,5,medium,5,0
television,oneplus,294000,study,soon,mid,0.18,0.41,0.7,3,5,high,7,1
keyboard,sony,18000,professional,soon,late,0.75,0.81,0.1,5,3,medium,9,1
refrigerator,jbl,24000,entertainment,soon,late,0.16,0.05,0.91,7,1,high,8,0
washing_machine,whirlpool,80000,office,exploring,decision,0.94,0.99,0.02,5,4,high,8,1
tablet,xiaomi,27000,casual,no_rush,early,0.26,0.05,0.9,7,4,high,10,0
refrigerator,jbl,88000,casual,no_rush,late,0.34,0.59,0.2,7,3,low,9,0
camera,bose,121000,casual,soon,mid,0.13,0.25,0.69,8,2,low,9,0
tablet,lenovo,71000,travel,flexible,awareness,0.56,0.75,0.19,2,3,low,4,0
smartwatch,xiaomi,50000,work_from_home,exploring,early,0.41,0.63,0.61,3,4,low,4,0
microwave,whirlpool,10000,travel,exploring,decision,0.82,0.97,0.13,8,2,high,8,0
monitor,apple,28000,professional,no_rush,decision,0.05,0.05,0.85,4,4,low,3,0
television,hp,85000,coding,no_rush,mid,0.73,0.81,0.34,6,5,high,2,1
mouse,canon,1000,entertainment,exploring,mid,0.22,0.23,0.89,5,5,medium,2,1
mouse,bosch,1000,home_use,exploring,late,0.05,0.05,0.9,8,5,high,5,0
smartwatch,bosch,13000,creative,no_rush,late,0.39,0.05,0.87,6,1,low,1,0
smartwatch,xiaomi,51000,creative,no_rush,awareness,0.22,0.27,0.68,7,1,high,9,0
monitor,hp,17000,office,exploring,decision,0.64,0.78,0.33,4,1,high,6,1
keyboard,whirlpool,2000,office,no_rush,early,0.28,0.24,0.29,6,3,medium,9,1
washing_machine,canon,61000,study,no_rush,decision,0.15,0.6,0.66,6,1,low,8,1
speaker,sony,12000,travel,flexible,late,0.47,0.63,0.65,5,3,medium,5,0
refrigerator,oneplus,23000,work_from_home,soon,awareness,0.75,0.94,0.07,3,3,medium,5,0
television,asus,162000,gaming,immediate,decision,0.11,0.05,0.88,4,1,medium,4,0
mouse,jbl,10000,office,immediate,late,0.33,0.24,0.94,2,1,high,10,0
mouse,lg,4000,study,no_rush,awareness,0.54,0.35,0.37,1,1,low,4,0
mouse,sony,1000,home_use,immediate,mid,0.24,0.39,0.8,2,1,low,4,1
headphones,whirlpool,16000,study,flexible,awareness,0.7,0.89,0.5,1,5,high,1,1
laptop,sony,184000,work_from_home,flexible,late,0.99,0.99,0.01,6,2,medium,1,1
tablet,xiaomi,12000,streaming,exploring,late,0.79,0.75,0.46,8,4,high,6,1
mouse,xiaomi,7000,professional,flexible,mid,0.26,0.48,0.78,8,2,low,8,0
headphones,apple,25000,work_from_home,flexible,early,0.48,0.36,0.3,3,3,low,2,1
microwave,bose,13000,professional,exploring,early,0.11,0.05,0.9,4,3,low,10,0
laptop,xiaomi,93000,home_use,flexible,early,0.79,0.3,0.69,4,4,medium,9,1
headphones,apple,3000,gaming,soon,early,0.31,0.51,0.11,5,4,high,8,1
microwave,dell,3000,coding,immediate,early,0.23,0.39,0.79,7,2,high,9,1
laptop,asus,138000,professional,flexible,late,0.05,0.05,0.98,4,5,high,3,1
monitor,xiaomi,34000,travel,flexible,awareness,0.15,0.17,0.79,5,1,high,8,0
mouse,oneplus,2000,travel,flexible,mid,0.32,0.29,0.62,2,1,high,8,0
speaker,lenovo,29000,gaming,flexible,early,0.67,0.7,0.32,1,3,medium,1,0
tablet,dell,78000,travel,no_rush,early,0.56,0.46,0.46,6,2,medium,3,0
refrigerator,jbl,14000,office,no_rush,mid,0.07,0.05,0.9,8,4,high,9,0
mouse,lenovo,3000,fitness,exploring,late,0.3,0.15,0.92,2,3,medium,4,0
keyboard,oneplus,9000,fitness,exploring,mid,0.91,0.79,0.15,3,4,low,3,1
refrigerator,sony,91000,entertainment,immediate,mid,0.05,0.05,0.98,7,4,medium,8,1
mouse,dell,8000,fitness,no_rush,decision,0.49,0.11,0.62,6,5,medium,8,0
speaker,whirlpool,19000,professional,exploring,decision,0.74,0.7,0.14,2,2,medium,5,1
keyboard,lg,15000,study,soon,early,0.28,0.09,0.68,7,3,high,6,1
tablet,hp,44000,professional,no_rush,late,0.7,0.55,0.51,1,5,low,6,1
mouse,bosch,6000,travel,exploring,decision,0.05,0.06,0.91,6,3,medium,9,1
television,hp,136000,casual,no_rush,awareness,0.44,0.21,0.77,7,3,high,1,0
tablet,lenovo,59000,casual,exploring,early,0.97,0.95,0.22,6,1,low,9,0
smartwatch,dell,4000,study,soon,mid,0.45,0.31,0.88,3,1,medium,5,0
monitor,canon,75000,entertainment,exploring,late,0.79,0.89,0.11,2,3,medium,3,0
keyboard,lg,11000,work_from_home,immediate,awareness,0.07,0.35,0.82,2,2,medium,6,1
washing_machine,canon,56000,business,immediate,early,0.35,0.31,0.6,6,2,low,4,1
mouse,sony,2000,streaming,exploring,awareness,0.33,0.31,0.54,5,2,low,3,0
smartphone,samsung,8000,professional,immediate,early,0.93,0.98,0.13,6,1,low,10,1
washing_machine,hp,77000,travel,soon,late,0.15,0.05,0.93,4,1,low,1,1
laptop,asus,187000,creative,flexible,mid,0.71,0.91,0.12,5,3,high,8,1
air_conditioner,lenovo,55000,business,no_rush,late,0.6,0.09,0.59,8,5,low,3,0
headphones,dell,12000,study,soon,early,0.37,0.47,0.82,1,2,medium,4,1
air_conditioner,bosch,37000,creative,flexible,early,0.1,0.12,0.93,5,5,medium,4,0
keyboard,whirlpool,10000,gaming,soon,early,0.58,0.3,0.35,5,1,high,3,1
smartphone,asus,58000,gaming,exploring,late,0.98,0.96,0.31,5,2,low,10,1
monitor,sony,13000,coding,immediate,late,0.8,0.37,0.56,1,5,high,3,0
smartphone,hp,76000,fitness,soon,awareness,0.74,0.63,0.58,1,5,low,4,0
washing_machine,samsung,12000,coding,flexible,mid,0.92,0.98,0.03,8,1,high,4,0
laptop,bose,59000,office,flexible,awareness,0.9,0.76,0.04,2,4,medium,5,1
tablet,whirlpool,34000,work_from_home,immediate,mid,0.63,0.82,0.2,7,1,medium,5,1
laptop,jbl,98000,coding,exploring,late,0.84,0.67,0.18,2,1,medium,8,1
smartphone,hp,31000,travel,soon,awareness,0.1,0.05,0.97,5,5,low,5,0
headphones,bose,12000,photography,no_rush,late,0.15,0.12,0.86,4,3,low,6,0
keyboard,lg,14000,streaming,immediate,late,0.27,0.67,0.28,7,2,medium,10,1
smartphone,bose,140000,office,flexible,late,0.68,0.47,0.78,2,3,low,9,1
mouse,lenovo,0,study,flexible,decision,0.62,0.24,0.74,8,3,high,8,1
speaker,whirlpool,24000,streaming,flexible,late,0.58,0.4,0.61,3,2,low,5,1
smartwatch,hp,39000,home_use,no_rush,decision,0.44,0.83,0.07,6,3,high,5,1
smartphone,oneplus,22000,coding,soon,awareness,0.73,0.97,0.14,7,3,medium,10,1
mouse,lg,2000,casual,soon,awareness,0.41,0.25,0.38,1,1,high,8,0
tablet,bose,17000,professional,immediate,decision,0.64,0.66,0.16,4,1,high,2,1
headphones,bosch,23000,casual,soon,mid,0.6,0.57,0.43,7,3,low,6,0
laptop,hp,31000,fitness,soon,late,0.89,0.97,0.17,1,1,low,7,1
refrigerator,apple,55000,fitness,soon,late,0.89,0.81,0.22,1,1,high,10,1
monitor,oneplus,18000,home_use,exploring,mid,0.27,0.42,0.65,6,2,medium,6,0
air_conditioner,hp,43000,business,soon,decision,0.27,0.27,0.68,6,1,high,9,0
smartphone,asus,67000,gaming,no_rush,mid,0.62,0.89,0.19,2,5,low,10,0
television,whirlpool,159000,streaming,immediate,late,0.59,0.79,0.47,3,1,medium,3,1
smartwatch,apple,28000,streaming,flexible,mid,0.95,0.8,0.15,1,3,high,5,1
smartphone,oneplus,119000,entertainment,immediate,decision,0.51,0.18,0.66,5,4,high,2,1
speaker,lenovo,2000,professional,flexible,late,0.48,0.9,0.33,8,4,low,3,0
air_conditioner,xiaomi,23000,streaming,immediate,awareness,0.78,0.55,0.75,6,1,low,2,0
monitor,bosch,13000,work_from_home,immediate,mid,0.52,0.9,0.31,2,1,high,3,0
monitor,canon,42000,travel,immediate,late,0.66,0.7,0.44,3,2,high,10,0
camera,apple,33000,entertainment,no_rush,awareness,0.42,0.47,0.55,8,5,low,10,0
washing_machine,whirlpool,15000,study,no_rush,decision,0.83,0.93,0.17,5,2,high,4,0
smartphone,jbl,137000,study,flexible,awareness,0.84,0.45,0.5,2,5,low,6,0
microwave,dell,25000,work_from_home,flexible,mid,0.83,0.94,0.1,7,4,medium,10,1
air_conditioner,dell,40000,fitness,exploring,early,0.91,0.79,0.15,8,1,high,5,0
monitor,apple,59000,study,exploring,late,0.07,0.15,0.68,2,1,low,9,0
air_conditioner,canon,62000,study,immediate,decision,0.36,0.2,0.71,5,5,medium,2,1
laptop,oneplus,99000,fitness,immediate,awareness,0.54,0.64,0.54,7,2,low,1,0
television,jbl,71000,home_use,soon,mid,0.46,0.49,0.36,6,5,high,8,0
television,lg,215000,fitness,immediate,decision,0.19,0.25,0.67,1,1,medium,5,1
washing_machine,bosch,34000,work_from_home,exploring,mid,0.68,0.95,0.21,7,5,low,5,1
speaker,canon,39000,gaming,flexible,decision,0.44,0.15,0.6,3,2,high,3,0
monitor,dell,49000,fitness,soon,decision,0.68,0.5,0.82,7,5,low,1,0
keyboard,apple,9000,professional,soon,early,0.12,0.05,0.98,4,3,high,7,0
washing_machine,apple,57000,entertainment,immediate,decision,0.71,0.38,0.52,8,1,low,4,0
television,hp,221000,photography,immediate,decision,0.94,0.96,0.09,3,2,medium,7,1
smartphone,dell,150000,streaming,exploring,late,0.96,0.98,0.08,4,5,medium,10,1
air_conditioner,asus,62000,gaming,flexible,late,0.37,0.6,0.73,5,4,high,5,0
washing_machine,sony,49000,creative,flexible,early,0.2,0.19,0.39,8,2,high,7,0
microwave,oneplus,12000,fitness,soon,early,0.33,0.22,0.16,2,1,medium,1,1
headphones,lenovo,0,travel,immediate,early,0.74,0.47,0.55,3,2,high,8,1
speaker,dell,35000,fitness,no_rush,late,0.58,0.52,0.43,8,1,high,4,1
washing_machine,oneplus,53000,study,no_rush,early,0.87,0.96,0.04,3,3,high,5,1
smartwatch,canon,32000,casual,soon,early,0.67,0.73,0.44,2,4,high,2,1
refrigerator,xiaomi,43000,study,no_rush,early,0.29,0.54,0.51,7,2,high,1,1
keyboard,oneplus,4000,photography,no_rush,mid,0.54,0.38,0.63,6,5,medium,1,0
keyboard,xiaomi,3000,work_from_home,immediate,awareness,0.93,0.92,0.18,5,2,low,2,1
headphones,canon,3000,office,soon,awareness,0.73,0.8,0.14,5,3,high,3,1
speaker,dell,2000,work_from_home,exploring,decision,0.19,0.24,0.62,5,1,high,1,0
camera,apple,100000,travel,exploring,decision,0.95,0.99,0.02,6,2,medium,4,1
washing_machine,canon,67000,photography,exploring,late,0.62,0.63,0.34,4,1,medium,1,1
tablet,lg,53000,entertainment,soon,mid,0.05,0.3,0.94,3,5,low,9,0
keyboard,asus,4000,office,soon,mid,0.12,0.23,0.83,1,5,medium,8,0
washing_machine,xiaomi,70000,professional,soon,decision,0.7,0.54,0.51,5,3,medium,9,1
smartphone,whirlpool,144000,professional,immediate,decision,0.1,0.09,0.91,8,1,medium,2,0
air_conditioner,sony,67000,travel,soon,late,0.38,0.44,0.6,1,1,high,10,0
keyboard,asus,8000,creative,flexible,awareness,0.81,0.64,0.22,2,2,medium,9,0
washing_machine,lenovo,16000,professional,immediate,mid,0.27,0.26,0.68,4,4,low,6,1
smartwatch,canon,3000,entertainment,no_rush,mid,0.81,0.5,0.46,4,2,low,5,1
speaker,oneplus,39000,coding,soon,mid,0.17,0.05,0.92,3,1,high,10,0
monitor,lenovo,15000,fitness,soon,decision,0.55,0.56,0.55,2,3,low,8,1
monitor,jbl,69000,entertainment,no_rush,mid,0.37,0.28,0.77,1,5,high,4,0
smartphone,bose,22000,study,exploring,mid,0.43,0.22,0.27,4,5,high,2,0
keyboard,sony,10000,home_use,no_rush,mid,0.52,0.27,0.66,1,1,low,8,1
laptop,bose,92000,professional,exploring,decision,0.73,0.91,0.56,8,2,medium,6,1
refrigerator,sony,55000,creative,exploring,early,0.34,0.65,0.76,2,1,medium,3,0
television,xiaomi,137000,creative,flexible,mid,0.98,0.96,0.02,3,3,high,9,1
tablet,apple,41000,fitness,flexible,early,0.14,0.21,0.52,7,2,high,6,0
television,dell,42000,casual,no_rush,early,0.79,0.9,0.09,1,4,high,9,1
refrigerator,samsung,77000,business,no_rush,mid,0.58,0.81,0.7,1,3,high,9,1
keyboard,oneplus,0,streaming,flexible,mid,0.58,0.71,0.37,5,5,medium,6,1
mouse,xiaomi,10000,home_use,immediate,mid,0.91,0.84,0.1,3,5,high,7,1
washing_machine,asus,69000,streaming,no_rush,awareness,0.37,0.33,0.65,2,5,high,9,0
camera,jbl,131000,work_from_home,no_rush,decision,0.66,0.9,0.07,4,3,medium,7,1
smartphone,jbl,44000,casual,flexible,late,0.75,0.64,0.32,2,2,high,4,1
television,xiaomi,79000,work_from_home,flexible,early,0.29,0.41,0.88,1,5,medium,8,0
smartwatch,canon,25000,work_from_home,exploring,awareness,0.78,0.98,0.12,5,1,medium,4,1
air_conditioner,bose,51000,photography,exploring,mid,0.22,0.62,0.55,8,3,high,9,1
smartwatch,bose,59000,photography,no_rush,awareness,0.45,0.05,0.76,8,4,medium,10,0
refrigerator,hp,89000,coding,flexible,late,0.18,0.46,0.82,3,4,medium,2,1
smartphone,jbl,72000,professional,no_rush,mid,0.97,0.85,0.11,4,2,medium,4,1
smartwatch,jbl,23000,creative,no_rush,decision,0.55,0.52,0.53,7,3,low,9,1
washing_machine,bosch,70000,photography,immediate,mid,0.6,0.9,0.67,1,3,low,5,0
laptop,apple,175000,study,flexible,early,0.15,0.75,0.38,4,2,low,9,0
speaker,samsung,30000,fitness,flexible,awareness,0.74,0.6,0.06,7,1,low,5,0
air_conditioner,lenovo,59000,home_use,flexible,awareness,0.4,0.67,0.4,2,5,medium,6,0
air_conditioner,whirlpool,39000,photography,soon,mid,0.54,0.9,0.12,4,2,low,4,0
keyboard,whirlpool,3000,gaming,exploring,early,0.72,0.87,0.21,6,3,high,2,0
laptop,samsung,81000,work_from_home,flexible,mid,0.62,0.97,0.02,4,1,medium,10,1
monitor,apple,15000,entertainment,flexible,awareness,0.42,0.87,0.23,1,3,medium,8,1
headphones,asus,23000,office,flexible,mid,0.46,0.91,0.32,7,5,low,6,0
keyboard,hp,10000,casual,flexible,early,0.91,0.94,0.25,2,2,high,5,1
smartphone,asus,21000,gaming,immediate,late,0.07,0.16,0.85,1,3,medium,8,1
refrigerator,asus,61000,fitness,soon,mid,0.08,0.06,0.96,5,2,high,1,0
monitor,lg,64000,streaming,soon,mid,0.43,0.42,0.49,4,3,low,9,1
laptop,jbl,178000,streaming,immediate,late,0.5,0.07,0.88,7,5,medium,9,1
mouse,samsung,2000,office,soon,awareness,0.74,0.98,0.14,2,2,low,10,1
laptop,whirlpool,171000,entertainment,immediate,early,0.23,0.32,0.52,8,1,high,3,0
smartphone,lg,143000,business,soon,mid,0.97,0.98,0.08,7,3,low,9,1
smartwatch,lg,53000,work_from_home,no_rush,late,0.29,0.12,0.81,7,4,high,5,0
smartphone,whirlpool,61000,office,soon,mid,0.33,0.25,0.47,8,2,medium,6,1
keyboard,jbl,5000,casual,soon,mid,0.3,0.3,0.29,5,3,high,8,1
camera,lenovo,152000,professional,no_rush,decision,0.61,0.1,0.88,2,4,medium,1,0
washing_machine,apple,28000,study,flexible,decision,0.27,0.37,0.91,5,5,medium,6,0
speaker,bose,39000,professional,flexible,awareness,0.9,0.25,0.46,7,4,low,9,1
speaker,whirlpool,39000,gaming,flexible,early,0.84,0.65,0.3,4,5,medium,3,1
mouse,apple,10000,professional,flexible,decision,0.38,0.16,0.79,6,3,medium,4,0
air_conditioner,dell,37000,streaming,exploring,awareness,0.55,0.5,0.75,5,1,high,4,0
microwave,jbl,15000,entertainment,exploring,late,0.28,0.17,0.95,2,4,high,8,0
air_conditioner,samsung,55000,fitness,no_rush,late,0.76,0.69,0.56,5,3,low,9,0
monitor,whirlpool,40000,work_from_home,soon,mid,0.85,0.95,0.04,5,4,high,2,0
headphones,hp,32000,gaming,immediate,late,0.92,0.92,0.11,1,5,high,7,1
television,oneplus,146000,streaming,soon,decision,0.9,0.83,0.09,1,4,low,6,1
microwave,samsung,9000,study,soon,late,0.29,0.34,0.85,7,2,high,6,0
laptop,asus,183000,professional,exploring,late,0.15,0.19,0.86,1,4,high,7,0
smartwatch,samsung,26000,fitness,no_rush,late,0.06,0.09,0.61,1,5,high,4,0
television,sony,214000,creative,flexible,early,0.1,0.05,0.97,5,2,low,5,0
refrigerator,bosch,82000,gaming,soon,late,0.82,0.92,0.31,6,2,medium,8,0
microwave,asus,22000,entertainment,exploring,early,0.64,0.44,0.62,3,5,medium,3,0
washing_machine,jbl,64000,home_use,soon,decision,0.44,0.42,0.15,4,4,high,5,0
keyboard,bosch,12000,entertainment,exploring,early,0.13,0.24,0.88,1,2,low,8,0
smartphone,xiaomi,92000,streaming,no_rush,decision,0.26,0.33,0.76,2,1,medium,9,0
refrigerator,asus,12000,creative,flexible,early,0.64,0.45,0.28,5,1,low,7,1
monitor,hp,69000,study,flexible,late,0.56,0.61,0.95,1,5,high,10,0
keyboard,xiaomi,8000,coding,exploring,late,0.64,0.9,0.15,3,5,high,2,0
keyboard,apple,4000,entertainment,soon,decision,0.97,0.86,0.02,3,3,high,6,1
smartphone,bose,35000,home_use,flexible,awareness,0.14,0.52,0.9,8,2,high,5,1
speaker,lg,37000,gaming,exploring,late,0.28,0.63,0.52,8,5,high,3,0
tablet,dell,23000,casual,no_rush,decision,0.42,0.56,0.27,4,2,low,9,1
mouse,apple,7000,office,immediate,decision,0.73,0.62,0.58,7,3,low,7,1
monitor,dell,21000,creative,immediate,awareness,0.25,0.52,0.63,4,4,low,3,0
smartwatch,canon,38000,coding,immediate,mid,0.39,0.4,0.57,3,2,low,10,1
speaker,whirlpool,5000,coding,soon,decision,0.29,0.26,0.92,8,3,medium,1,1
television,bosch,52000,office,soon,decision,0.47,0.1,0.96,4,2,medium,3,1
headphones,apple,29000,gaming,exploring,awareness,0.05,0.07,0.94,1,3,medium,10,0
laptop,apple,108000,coding,no_rush,early,0.53,0.44,0.59,2,5,high,2,0
monitor,samsung,28000,coding,exploring,late,0.93,0.88,0.1,4,5,medium,7,0
refrigerator,whirlpool,47000,casual,immediate,decision,0.68,0.81,0.37,1,1,low,1,1
air_conditioner,samsung,31000,coding,no_rush,early,0.25,0.63,0.8,6,1,medium,3,0
mouse,lenovo,9000,creative,soon,early,0.88,0.52,0.41,1,3,low,10,1
laptop,apple,98000,creative,no_rush,late,0.73,0.57,0.32,2,5,high,4,1
washing_machine,asus,79000,travel,no_rush,decision,0.49,0.32,0.66,7,5,medium,6,0
smartphone,bosch,85000,fitness,flexible,mid,0.87,0.95,0.07,4,2,low,2,1
smartphone,canon,70000,work_from_home,no_rush,awareness,0.49,0.88,0.06,3,2,medium,8,1
speaker,hp,31000,home_use,soon,decision,0.7,0.55,0.65,7,4,high,4,1
laptop,canon,143000,creative,no_rush,early,0.05,0.12,0.92,5,2,high,9,0
tablet,jbl,41000,entertainment,immediate,decision,0.36,0.48,0.3,5,4,low,5,1
keyboard,xiaomi,13000,work_from_home,flexible,mid,0.8,0.87,0.17,1,4,medium,8,1
smartphone,bosch,62000,professional,flexible,early,0.05,0.14,0.98,5,3,low,8,0
headphones,jbl,20000,photography,immediate,early,0.91,0.87,0.12,7,1,medium,3,1
microwave,apple,15000,entertainment,exploring,late,0.71,0.34,0.55,4,2,high,6,0
laptop,bosch,176000,coding,exploring,late,0.05,0.05,0.94,8,3,high,7,0
smartwatch,samsung,34000,professional,flexible,early,0.69,0.57,0.14,7,1,low,2,1
speaker,samsung,42000,professional,no_rush,early,0.05,0.05,0.96,2,1,high,1,0
headphones,canon,26000,gaming,soon,decision,0.94,0.97,0.01,3,1,high,9,1
microwave,samsung,16000,gaming,immediate,decision,0.98,0.96,0.15,4,2,high,8,1
speaker,lg,12000,casual,no_rush,decision,0.87,0.9,0.08,4,3,high,2,1
keyboard,whirlpool,16000,home_use,flexible,mid,0.57,0.41,0.85,8,5,high,1,0
smartwatch,dell,46000,creative,flexible,early,0.05,0.05,0.95,6,3,high,2,0
mouse,bosch,0,travel,soon,early,0.96,0.98,0.04,7,1,high,6,1
tablet,bose,29000,professional,immediate,early,0.11,0.06,0.88,1,4,high,2,0
headphones,jbl,31000,creative,flexible,early,0.5,0.62,0.2,4,4,medium,7,0
air_conditioner,samsung,81000,entertainment,immediate,mid,0.7,0.51,0.84,6,5,low,4,1
smartphone,apple,14000,gaming,no_rush,early,0.1,0.05,0.86,5,3,high,7,0
refrigerator,hp,56000,study,exploring,decision,0.79,0.9,0.46,7,3,medium,1,1
television,bosch,278000,coding,flexible,late,0.89,0.95,0.09,4,4,low,9,1
tablet,apple,27000,study,no_rush,decision,0.91,0.3,0.57,2,4,high,8,1
headphones,sony,26000,study,immediate,awareness,0.71,0.44,0.74,3,2,high,6,1
